interface_option,question_id,mean,std,count
benchmark,benchmark_list_efficient,6.31,1.0,68
benchmark,benchmark_list_scan_ease,6.32,0.94,68
multi,multi_cell_action_combined,4.13,2.23,68
multi,multi_filter_easy,4.88,1.81,68
multi,multi_filter_helpful,5.21,1.78,68
multi,multi_header_click_filters,4.97,2.1,68
multi,multi_history_saved,3.91,2.39,68
multi,multi_history_step_back,3.29,2.27,68
multi,multi_item_click_shows_list,4.31,2.16,68
multi,multi_scroll_axes_confusing,4.54,2.14,68
multi,multi_scroll_axes_helpful,4.15,2.18,68
multi,multi_scroll_diagonal_confusing,4.93,1.97,68
multi,multi_scroll_diagonal_helpful,3.43,2.05,68
multi,multi_scroll_notice,4.57,2.02,68
multi,multi_show_results_button,4.24,2.15,68
single,single_compare_helpful,4.34,2.15,67
single,single_horiz_scroll_ease,4.88,2.03,67
single,single_independent_lists,5.01,2.09,67
single,single_info_density,4.96,1.68,67
single,single_title_filter_clear,5.0,2.04,67
single,single_title_filter_intuitive,4.48,1.97,67
