metric,friedman_chi2,friedman_p,comparison,wilcoxon_W,p_uncorrected,p_holm,significant,task_type
task_completion_time_sec,1.258064516129025,0.5331074619003199,,,,,,exploratory
total_interactions,85.88034188034185,2.245539550722184e-19,benchmark vs single,20.0,2.412664193374806e-09,4.825328386749612e-09,True,exploratory
total_interactions,85.88034188034185,2.245539550722184e-19,benchmark vs multi,0.0,7.464957932715688e-12,2.2394873798147066e-11,True,exploratory
total_interactions,85.88034188034185,2.245539550722184e-19,single vs multi,254.5,1.141655372998612e-06,1.141655372998612e-06,True,exploratory
total_navigations,40.77173913043478,1.4012942470236862e-09,benchmark vs single,132.0,0.006893317423960008,0.006893317423960008,True,exploratory
total_navigations,40.77173913043478,1.4012942470236862e-09,benchmark vs multi,47.0,4.210949162940485e-08,1.2632847488821454e-07,True,exploratory
total_navigations,40.77173913043478,1.4012942470236862e-09,single vs multi,320.5,0.0017435504802941909,0.0034871009605883818,True,exploratory
total_filters,50.78571428571428,9.376100701000582e-12,benchmark vs single,104.0,3.7228152643855824e-05,7.445630528771165e-05,True,exploratory
total_filters,50.78571428571428,9.376100701000582e-12,benchmark vs multi,15.5,1.874036540129093e-09,5.622109620387278e-09,True,exploratory
total_filters,50.78571428571428,9.376100701000582e-12,single vs multi,263.0,0.00017477749265778505,0.00017477749265778505,True,exploratory
total_resets,5.046511627906976,0.0801980712257191,,,,,,exploratory
total_hovers,96.47698744769876,1.1227636931872622e-21,benchmark vs single,276.5,0.00010026593877844217,0.00010026593877844217,True,exploratory
total_hovers,96.47698744769876,1.1227636931872622e-21,benchmark vs multi,0.0,7.567749143960337e-12,2.270324743188101e-11,True,exploratory
total_hovers,96.47698744769876,1.1227636931872622e-21,single vs multi,9.5,1.2017646408713882e-11,2.4035292817427764e-11,True,exploratory
total_scrolls,82.85840707964601,1.0174791371244602e-18,benchmark vs single,0.0,2.3852920537110325e-08,4.770584107422065e-08,True,exploratory
total_scrolls,82.85840707964601,1.0174791371244602e-18,benchmark vs multi,0.0,6.9277769396809235e-12,2.0783330819042772e-11,True,exploratory
total_scrolls,82.85840707964601,1.0174791371244602e-18,single vs multi,406.5,0.00010607056556050283,0.00010607056556050283,True,exploratory
