metric,comparison,chi2,W,p_uncorrected,p_holm,significant
price,Friedman omnibus,26.393162393162363,,1.8569388667325447e-06,,True
price,benchmark vs single,,289.0,4.051201828311309e-06,1.2153605484933927e-05,True
price,benchmark vs multi,,369.0,5.8304113935819285e-05,0.00011660822787163857,True
price,single vs multi,,518.5,0.12047435391082008,0.12047435391082008,False
rating,Friedman omnibus,12.847161572052414,,0.0016228347941880546,,True
rating,benchmark vs single,,760.0,0.3453219535318487,0.3453219535318487,False
rating,benchmark vs multi,,473.0,0.0030581011738981365,0.00917430352169441,True
rating,single vs multi,,458.0,0.0546331515995518,0.1092663031991036,False
distance,Friedman omnibus,17.059829059829084,,0.000197471847139171,,True
distance,benchmark vs single,,432.5,0.0003818467003215722,0.0007636934006431444,True
distance,benchmark vs multi,,355.0,3.7446833590986114e-05,0.00011234050077295834,True
distance,single vs multi,,666.0,0.8340729204402252,0.8340729204402252,False
rating_per_euro,Friedman omnibus,31.829059829059798,,1.2257657324541614e-07,,True
rating_per_euro,benchmark vs single,,138.0,1.0625444529835839e-08,3.187633358950752e-08,True
rating_per_euro,benchmark vs multi,,176.0,5.315842017194194e-08,1.0631684034388388e-07,True
rating_per_euro,single vs multi,,644.5,0.6852772190024026,0.6852772190024026,False
